名稱,分類,劇情介紹,上映日期,網址
死因無可疑,懸疑/驚悚 ,"
            ★改編自日本知名作家貴志祐介經典作品《黑色之家》，獲得日本驚悚小說大賞首獎，暢銷突破百萬冊
★金馬影后林嘉欣改頭換面扮傷殘的怪媽媽，聯手金獎影帝黃秋生合作，飆出嚇人神演技
★一條人命值多少錢？一對古怪夫妻的兒子上吊自殺，保險員直覺是詐領保險金的謀殺案，越調查就越陷入危機之中
 
保險經紀葉永信（陳家樂 飾）做事熱情認真，一天突然被神秘客戶指定跟進一張保單，上門拜訪時，竟然親眼目睹客戶朱重德（黃秋生 飾）的兒子吊死在潻黑的房間內，嚇出一身冷干的他，認為朱重德在現場的反應古怪，直覺認定他是為了詐取保險金而殺了兒子，決心對朱重德和他殘障的妻子沈子玲（林嘉欣 飾）展開調查。
 
葉永信卻驚覺越接近真相的同時，恐嚇的事件接二連三地發生，危險向他和他身邊的人逐步逼近，他也處身死亡邊緣...。
          ",上映日期：2020-07-03,https://movies.yahoo.com.tw/movieinfo_main/%E6%AD%BB%E5%9B%A0%E7%84%A1%E5%8F%AF%E7%96%91-legally-declared-dead-10755
詭絲,懸疑/驚悚 ,"
            日本科學家橋本良晴(江口洋介 飾)率領關西大學反重力小組，低調進行一項特殊的研究，研究成員除了橋本外，還包括了蘇原(徐熙媛 飾)、守仁(陳柏霖 飾)、和美(張鈞甯 飾)共四人，他們研究靈魂存在的可能性並試圖捕捉靈魂。橋本找來了擁有天賦般特殊觀察力的警探葉起東(張震 飾)加入研究，起東從一開始拒絕到後來答應協助，在研究鬼魂的過程中，起東漸漸發現這些研究並非如想像中那麼單純，背後似乎有著非比尋常的陰謀，這群研究團隊越深入地進行研究，事情卻開始漸漸失控，一發不可收拾…。
          ",上映日期：2020-07-24,https://movies.yahoo.com.tw/movieinfo_main/%E8%A9%AD%E7%B5%B2-silk-10801
燕尾蝶：數位經典版,犯罪 劇情 ,"
            ★《情書》、《青春電幻物語》、《花與愛麗絲》導演岩井俊二世紀末寓言影史經典，二十五週年大銀幕華麗再現。
★1996威尼斯影展特別放映、1997日本奧斯卡最佳影片等九項大獎提名
 
不久的未來，日圓曾是世界上最強勢的貨幣。為了一尋發財夢而來到日本的外國人們，將那裡稱為「圓都」，而日本人則將這些住在日本的非法勞動者蔑稱為「圓盜」。   
  
居住在「圓都」的無名少女在母親死後，被輾轉流連在醜惡的大人們之間，最後被胸前刺著蝴蝶刺青、有著美好歌聲的妓女「固力果」給收留。固力果最後將這名無名少女命名為「燕尾蝶」。他們倆人安居在廢棄修理站，並結識了火飛鴻、狼朗等來自不同國家的「圓盜”，並逐漸與他們熟識成為好友。
 
一盤錄有美國歌曲《My Way》，並隱藏有製造偽鈔磁性感應資料的磁帶，令眾人一夜致富，而在發財後，卻也開始走上不同道路，其中有出色演唱天賦的固力果被唱片公司簽下，並在公司逼迫下與大夥斷了關係。而磁帶的真正主人黑社會老大劉梁魁，在得知磁帶下落後，開始派手下追殺火飛鴻、固力果等人，眾人的命運開始擁有不同的展開。
 
          ",上映日期：2021-07-14,https://movies.yahoo.com.tw/movieinfo_main/%E7%87%95%E5%B0%BE%E8%9D%B6-%E6%95%B8%E4%BD%8D%E7%B6%93%E5%85%B8%E7%89%88-swallowtail-butterfly-11332
青春電幻物語：數位修復版,劇情 ,"
            ★《情書》、《燕尾蝶》、《花與愛麗絲》導演岩井俊二跨時代不朽神作。
★影史經典殘酷詩篇，二十週年全新數位修復衝擊大銀幕。
★2001紐約影展、多倫多影展、2002柏林影展C.I.C.A.E.特別獎、2002上海電影節評審團特別獎及最佳配樂雙料大獎。
★「影史最會描寫青春的導演」- Entertainment Weekly
★「一生難忘的觀影經驗」- Village Voice
 
蓮見雄一是一名普通的高中生，他和母親、繼父和繼父帶來的弟弟一同生活。班上的風雲人物星野修介和他一同進入田徑社，兩人成了好朋友。暑假時，兩人隨同社團一起去沖繩旅遊，友情在旅途後產生變化，星野的脾氣日漸粗暴，開始欺負蓮見。蓮見默默忍受星野的霸凌，性格變得自閉孤僻。在他的心靈裡，盡是閉塞孤獨的影像。唯有當紅偶像歌手莉莉周周的歌聲才能給他慰藉。
 
一九九九年十二月八日莉莉周周在澀谷舉行的十九歲演唱會，蓮見正準備進場找尋他那安穩而明亮的烏托邦。那一晚，當莉莉周周的音樂響起，在那個現實與虛幻的交叉點上，一段殘酷的青春物語就此劃開……
 
          ",上映日期：2021-04-01,https://movies.yahoo.com.tw/movieinfo_main/%E9%9D%92%E6%98%A5%E9%9B%BB%E5%B9%BB%E7%89%A9%E8%AA%9E-%E6%95%B8%E4%BD%8D%E4%BF%AE%E5%BE%A9%E7%89%88-all-about-lily-chou-chou-11283
太陽不會動,犯罪 科幻 動作 ,"
            ★日本影帝藤原龍也ｘ韓國影后韓孝周 遠赴保加利亞實景拍攝 ★頂尖特務諜對諜！
★《浴血任務3》製作團隊 改編人氣小說 重金跨國拍攝諜戰鉅作
★關鍵倒數24小時 挑戰人性極限與死亡的威脅
 
秘密組織AN集團為了防堵旗下特務出賣公司，於是祭出心臟炸彈手段。一旦超過24小時他們未回報總部任務進度，就會被炸得粉身碎骨。首屈一指的頂尖菁英鷹野一彦（藤原龍也 飾）與火爆新秀田岡亮一（竹内涼真 飾）搭檔，奉命至保加利亞營救被中國財團CNOX監禁的特務山下龍二（市原隼人 飾）。
 
此時距離山下回報任務進度僅剩五分鐘，為救出山下雙方展開一連串激烈打鬥。五、四、三、二、一，嗶—蹦！山下最終未能即時回報，被總部視為「可能」的叛徒進而引爆心臟炸彈。
 
鷹野與田岡兩人繼續山下未完的任務，並查出山下被監禁的原因與能操控全世界的「次世代能源」有關，各國相繼祭出高額賞金獲取情報，國際特務展開一場鬥智鬥勇的情報爭奪戰！
 
正當陷入苦戰之際，埋在鷹野體內的心臟炸彈到數啟動。時間一分一秒的流逝，面對各方陰謀與死亡威脅襲捲而來，他能即時回報任務，看見明天的太陽嗎！？
          ",上映日期：2021-03-19,https://movies.yahoo.com.tw/movieinfo_main/%E5%A4%AA%E9%99%BD%E4%B8%8D%E6%9C%83%E5%8B%95-the-sun-stands-still-11196
賭博默示錄：最終遊戲,劇情 ,"
            ★ 日本雙週票房冠軍，票房突破20億
★ 原作作者福本伸行親自提案監修，打造精彩絕倫的原創故事
★ 睽違9年！藤原龍也再度飾演開司，迎向完結篇！
 
2020年，在東京奧運結束後，日本的景氣突急速低迷，變成貧窮的弱者能輕易被擊垮的社會。被派遣公司當成傻子，領微薄的薪水過著墮落生活的伊藤開司（藤原龍也 飾），某天再次遇見了成為帝愛集團社長的大槻太郎，大槻告訴開司在某位有錢長者所舉辦的活動中，能夠一獲千金的機會……
 
          ",上映日期：2020-07-03,https://movies.yahoo.com.tw/movieinfo_main/%E8%B3%AD%E5%8D%9A%E9%BB%98%E7%A4%BA%E9%8C%84-%E6%9C%80%E7%B5%82%E9%81%8A%E6%88%B2-kaiji-final-game-10791
電影版 嬌妻出沒注意,劇情 動作 ,"
            ★高收視話題日劇《嬌妻出沒注意》回來啦！
★東瀛女神《海街日記》綾瀨遙！
★型男大叔《昨日的美食》西島秀俊！
★日版《史密斯任務》夫妻相愛相殺！
★間諜老婆 VS 警察老公 為任務斷開所戀！
★史上最強夫妻吵架吵成#國際危機！
 
過去曾擔任過特務的專職主婦─伊佐山菜美（綾瀨遙 飾），以及真實身分為現役公安警察且負責監視菜美的溫柔丈夫─伊佐山勇輝（西島秀俊 飾），兩人隱姓埋名，改名為櫻井久實與裕司，在小小的偏鄉都市珠海市展開新生活。而這其實是由於半年前的某個契機造成菜美喪失記憶所致。
 
「拋下過去，我只想珍惜當下與你共度的生活」
在兩人展開新生活的珠海市，由於新能源「甲烷水合物」開採而逐漸活絡，然而主張守護純淨海洋的反對開發派，以及以市長為首的推進派之間的爭執日漸激化。事實上，公安已經查出新能源開發案背後，潛藏著與俄羅斯勾結的國家級陰謀。
 
「如果那女人不願意協助公安，就把她殺了」
究竟該相信還是該懷疑？要放她走還是抓住她？內心糾結不已的裕司（勇輝）。而當菜美找回原本的記憶，也代表彼此相愛的兩人必須道別。在這之中，被過往宿命及國家追殺的久實（菜美）卻又被捲入更大的事件之中。
 
【關於電影】
 
超人氣話題日劇《嬌妻出沒注意》於2017年播出時創下最高收視率14.5%，最高綜合收視率25.6%的絕佳成績，如今終於眾望所歸推出《電影版 嬌妻出沒注意》！
 
綾瀨遙飾演擁有「前特務」秘密身分的菜鳥主婦，故事交織在嬌妻接連擊敗惡棍的魄力動作場面（沒有使用替身！）與西島秀俊飾演的丈夫之真實身分逐漸浮現（其實是「公安警察」）之中刺激的展開。 
 
而最重要的是對彼此說謊、隱瞞真相，卻仍舊深愛著對方的劇情也成為本片的話題焦點。嚮往自由的妻子以及背負著國家枷鎖的丈夫，為了追求平穩幸福的生活，本應徹底收山的他們，卻由於無法對附近發生的各種事件坐視不管，為了救出受苦受難的人們，而成為了強大可愛又帥氣的新英雄，獲得廣大世代的支持。
 
這次為了拍攝《電影版 嬌妻出沒注意》，也特地找來了最強團隊，原案由《SP特勤型男》系列及《CRISIS危機英雄》金城一紀擔任。執導筒的則是《賭博默示錄》系列及《ST 警視廳科學特搜班 紅白搜查檔案》、《極道鮮師 電影版》等大賣座作品的幕後推手佐藤東彌。
 
由綾瀨遙本人親身上陣演出的精彩打鬥場面，當時即為日劇版帶來許多討論，可說是傳說級日劇，再加上劇中的最強夫妻搭檔，這次無論是故事性或動作場面都將大幅提升規模，化身頂級娛樂饗宴，凱旋登上大銀幕！
 
兼具美麗與強大，強化再升級的最強妻子─綾瀨遙，這次也堅持不使用替身演員、帶來最狂放的演出。優雅美麗的女主角以及前所未見的動作場面，千萬不容錯過！
 
擁有驚人強大力量卻又懷抱著不可告人的秘密，最強夫妻的糾葛與愛情加上極具魄力的動作場面（夫妻吵架），日本影史上前所未見的「最強妻子動作娛樂大片」即將拉開戲幕！
 
這場〝史上最強夫妻吵架〞結果究竟會如何？兩人之間的愛又將何去何從？感動驚人的最高潮將會是…
 
 
 
          ",上映日期：2021-04-23,https://movies.yahoo.com.tw/movieinfo_main/%E9%9B%BB%E5%BD%B1%E7%89%88-%E5%AC%8C%E5%A6%BB%E5%87%BA%E6%B2%92%E6%B3%A8%E6%84%8F-caution-hazardous-wife-the-movie-11309
今夜，在浪漫劇場與妳相遇,喜劇 奇幻 愛情 ,"
            ★ 強勢空降日本票房冠軍，累積票房突破10億日幣！
★《交響情人夢》、《羅馬浴場》導演打造華麗奇幻愛情物語！
★ 超催淚！超浪漫！日本觀眾感動度90.9％！滿意度91.5％！ 
★ 浪漫懷舊氛圍滿載，宛如《羅馬假期》融合《開羅紫玫瑰》！
★ 集結日本豪華演技派卡司，華麗視覺讓人賞心悅目！
★ 藍絲帶影后綾瀨遙挑戰傲嬌蠻橫大小姐，絕美華服輪番上陣！
★ 坂口健太郎挑戰從影生涯最溫暖深情的精湛演出！
 
夢想成為導演的純真青年健司（坂口健太郎飾演），對黑白電影中的漂亮公主美雪（綾瀨遙飾演）傾心不已。一個雷雨交加的夜晚，這部黑白電影即將作最後一次放映。健司帶著不捨心情觀賞電影，沒想到美雪公主竟從銀幕中進入現實世界，全身並由最初的黑白色調，慢慢染上現實世界的色彩。不過這位公主人如其名，有著嚴重的「公主病」，甚至傲嬌地命令健司成為她的僕人，讓健司實在難以招架。不過隨著兩人一起生活，彼此也逐漸吸引、互生好感。就在一段浪漫愛情萌芽之際，美雪竟向健司透露自己不為人知的秘密…。同時，電影公司的社長千金塔子（本田翼飾演）也向健司告白…。最後健司該要情歸何方？而他與美雪能否有情人終成眷屬呢？
 
【關於電影】
 
勇奪日本票房冠軍，年度超浪漫催淚電影！
在漫畫與小說改編電影當道的日本影壇當中，《今夜，在浪漫劇場與妳相遇》可說是難能可貴的存在。本片企畫製作人稻葉直人表示：「應該要有只能在電影院享受，而且更加引人入勝的原創故事才行！」基於這個想法，這部電影便經歷九年的製作期才大功告成。由於要構想出完全原創，並且只能透過電影才能享受的故事，這也讓曾打造出《信長協奏曲》的編劇宇山佳佑使出渾身解數，並汲取「冷面笑匠」巴斯特基頓（Buster Keaton）執導的無聲喜劇電影《福爾摩斯二世》（Sherlock Jr.），以及名導伍迪艾倫（Woody Allen）執導的《開羅紫玫瑰》（The Purple Rose of Cairo）等經典電影作為靈感架構，讓「漂亮公主從黑白電影中一躍而出，來到現實世界」作為這部愛情電影的故事主軸，以日本電影來說是非常天馬行空的設定。
 
全片以愛情故事作為基底，前半段充滿喜感且步調輕盈，來到中段則開始轉換成令人為之鼻酸的愛情故事。這交給曾執導過《交響情人夢最終樂章》、《羅馬浴場》系列的武內英樹，可說是再好不過的選擇。自詡為浪漫主義者的武內導演，透露初次閱讀劇本就感動到痛哭失聲；實際執導之際，他也試圖在前半段的喜劇，以及後半段揪心的劇情之間，取得風格上的調和。此外，片中出現的電影院、服裝與拍攝地點，劇組都徹底考察；尤其被選出來的服裝，也將會配合女主角的心境而改變色彩，徹底追求極致的色彩表現。不僅如此，「既然要拍攝以電影院為舞台的電影，就要拍成充滿對電影之愛的作品！」秉持這份信念，全片也有不少對以往經典電影致敬的橋段，值得影癡級觀眾一探究竟。值得一提的是，本片時代背景設定在1960年也有其原因，由於這是個由電影逐漸轉換到電視的年代，彩色電視就是在1958年開始播放，1960年則是電影觀眾因此急遽減少的轉換期。本片也因此傳遞出對這些電影的思念，默默帶出「隨著時代變化，從眾人記憶中逐漸被淡忘的這些電影」這個主題，可說是故事與內涵兼具的精彩之作。 
 
要拍出讓觀眾深受感動的愛情故事，極佳的故事自然不在話下，而男女主角也必須相當「速配」才行。企畫製作人稻葉表示，當年曾在自己製作的電影《夢想起飛：菜鳥空姐的處女航》與綾瀨遙合作，並深受她獨一無二的喜劇才華所吸引，所以從一開始就確定採用綾瀨遙作為女主角，並試圖拍出一部充分活用綾瀨遙魅力的電影。男主角坂口健太郎也是劇組不斷尋覓才確定的完美人選，他也成功將「健司」這個溫柔纖細，又有點軟弱、內心純真的角色詮釋得絲絲入扣。武內導演並力讚坂口：「既能展現纖細演技，又具備相當優秀的喜感。」這也勢必將讓本片成為坂口演藝生涯的代表作之一。
 
本片在日本上映之後，同樣引發轟動討論，不僅強勢榮登日本電影票房冠軍，總票房更轟動賣破10億日幣，並被觀眾高度力讚「年度最浪漫催淚電影」。劇組也特別針對來場觀眾統計，觀眾們的感動度高達90.9％，滿意度更直逼91.5％！值得一提的是，本片主題曲〈奇跡〉也找來被封為「情歌天后」的香奈兒演唱。她以溫柔的聲線唱出激昂又哀傷的旋律，也為這極致虐心的戀愛故事帶來溫潤的色彩。如今本片即將在台灣感動獻映，絕對是熱愛電影的您，以及戀愛中人們的必看電影首選！
 
          ",上映日期：2018-05-11,https://movies.yahoo.com.tw/movieinfo_main/%E4%BB%8A%E5%A4%9C-%E5%9C%A8%E6%B5%AA%E6%BC%AB%E5%8A%87%E5%A0%B4%E8%88%87%E5%A6%B3%E7%9B%B8%E9%81%87-tonight-at-romance-theater-7883
飛翔吧！埼玉,喜劇 劇情 ,"
            ★改編自同名超狂自婊漫畫
★票房超過20億  觀影人次大破150萬 
★《羅馬浴場》導演武內英樹 打造日本影史最爆笑BL喜劇
 
天龍人退散！史無前例最大「戰地區」革命！
埼玉縣在哪？東京的北方。無論是票選「夏天最想前往」、「冬天最想前往」、或是統計「總理大臣出身地」，它都是日本四十七個都道府縣的「倒數」第一，唯一奪冠的項目是:「貧乳」!
 
自古背負「日本最土縣市」的臭名，埼玉縣民飽受東京的歧視與迫害......身為有「東京市長金搖籃」之稱的白鵬堂貴族學院學生會長，壇之浦百美（二階堂富美 飾）立志繼承老爸的市長志業，盡其所能打壓埼玉縣人，然而就在他愛上假扮成美國轉學生的埼玉縣民麻實麗（Gackt 飾）之後，根深蒂固的信仰價值一夕崩壞！為了解放埼玉，為了自由追尋自己的愛情，百美和麗展開一場關東史上最大革命，衝撞天龍國、解放
 
【關於電影】
 
《羅馬浴場》奇葩億萬導演最新力作《飛翔吧！埼玉》自婊搞笑無極限
沒有最狂 只有更狂  挑戰日本影史最大鬧劇！
 
《羅馬劇場》導演武內英樹再度出手，超狂新作《飛翔吧！埼玉：次等公民的逆襲》翻拍同名自婊漫畫，找來日本奧斯卡影后二階堂富美和全方位藝人Gackt形象全毀顛覆演出，電影不惜公開霸凌日本埼玉縣，大搞二線城市與首都東京的歧視內戰，二階堂富美更瘋玩「性轉」，女扮男裝與Gackt大談BL禁忌之戀，各種出乎預料的情節組合讓二階堂興奮大讚劇組：「我們就像來自不同星球的代表一起在地球集合！我在拍攝片場經常想著『我大概是最正常的人吧』！」《飛翔吧！埼玉：次等公民的逆襲》故事背景取自埼玉縣在日本受到其他縣市民歧視的真實狀況，講述飽受東京霸凌的埼玉縣民不堪羞辱，決心組織「埼玉解放陣線」揭開革命的序幕，X JAPAN知名音樂人YOSHIKI、日本影后真木陽子等多位巨星也被惡搞，挑戰影史自婊鬧劇極限，影迷爆笑淚推導演「只有武內英樹能超越武內英樹！」
 
一屍到底後《飛翔吧！埼玉：次等公民的逆襲》又一日本社會現象級電影！
票房逆成長持續攀升 觀影人次大破百萬 票房狂賣20億！
繼讓觀眾腦洞大開、重新定義何謂電影的奇葩神作《一屍到底》後，日本又一部超狂自婊爆笑喜劇《飛翔吧！埼玉：次等公民的逆襲》造成社會暴動！電影不只在上映第二週逆勢成長票房翻倍，上映至今觀影人次已累積超過156萬人，票房狂賣20億！《飛翔吧！埼玉：次等公民的逆襲》劇情百無禁忌，大言不慚嘲諷「土埼玉」，展現東京天龍人的傲慢，更把三位「男主角」強迫送作堆，在討回埼玉尊嚴的同時，還要搞三角基情，日本觀眾笑到淚推：「太有趣從頭笑到尾！」最後的超展開結局更讓埼玉觀眾起立鼓掌：「我到底看了什麼！」「能身為埼玉人太驕傲了！」電影中象徵效忠埼玉的「埼玉手勢」意外引起風潮，成為時下最潮拍貼姿勢，而相關周邊商品如印有「埼玉手勢」的托特包和「十萬石饅頭點心」也造成粉絲瘋狂搶購！《飛翔吧！埼玉：次等公民的逆襲》完全成為日本超級社會現象，話題不斷將有機會再創票房高峰！
 
          ",上映日期：2019-08-16,https://movies.yahoo.com.tw/movieinfo_main/%E9%A3%9B%E7%BF%94%E5%90%A7-%E5%9F%BC%E7%8E%89-tonde-saitama-9833
手塚治虫迷幻少女,劇情 ,"
            「迷幻少女是關於一名男子癡迷於墮落與瘋狂的故事。」～手塚治虫
 
「東京都市吞噬、消化了幾千萬人，有個女人卻像是排泄物般被排出了，她的名字是芭波拉。」有著特殊性癖的唯美派作家美倉洋介在地鐵站邂逅了這名滿是酒氣的女子，便將她帶回家。放浪形骸的芭波拉再次激起美倉創作的靈感，文思泉湧猶如同他內心即將潰堤的慾望，她是繆斯？還是惡魔？或者根本只是美倉自行想像的幻影？有如在芭波拉的引領之下，美倉洋介展開了這段毀滅的旅程…
 
手塚治虫誕辰90周年紀念之作，由手塚真執導，日德英跨國聯手製作，四座金馬獎加七座香港電影金像獎最佳攝影得主的杜可風擔任攝影。加上實力派演員稻垣吾郎，以及二階堂富美飾演謎一般的迷幻少女。繼東京影展競賽片之後，獲邀全世界各大奇幻影展。
 
          ",上映日期：2020-12-18,https://movies.yahoo.com.tw/movieinfo_main/%E6%89%8B%E5%A1%9A%E6%B2%BB%E8%99%AB%E8%BF%B7%E5%B9%BB%E5%B0%91%E5%A5%B3-barbara-10912
每個月來訪一次的月經醬,喜劇 溫馨/家庭 愛情 ,"
            ★手塚治虫文化賞短篇獎得主 點擊超越2000萬
★廣大女孩共感度No.1壓倒性支持
 
關於每個月的那幾天，焦躁、痛苦、疲倦不堪…！
青子（二階堂富美 飾）在女性時尚雜誌的編輯部工作，為著愛情和工作努力的她，每個月都會發生一次，截稿日快到的時候、『月經醬』突然來訪，在自己不舒服時受男性上司白眼對待時，更是很想讓對方嚐嚐這「月經拳」的威力！然而，青子愛上了一位單身爸爸久保（岡田義德 飾），他有一位十一歲的獨生女兒夏鈴，但是青子不知該如何拉近跟夏鈴的距離，小資女的愛情碰上超級難題，這時每個月來訪一次的『月經醬』，更是讓青子焦躁、痛苦、疲倦不堪！
山本（伊藤沙莉 飾）在青子任職的出版社擔任清潔工，時尚編輯對她而言是遙不可及的閃亮職業，她只能躲在辦公室角落把內心怨言全都抒發在手機上。看什麼都不順眼的山本，加上『月經醬』來訪重擊，讓她對生活充滿了憤恨，但此時，她卻對出版社的小鮮肉編輯有了心動的感覺，早已放棄人生的她，不知道是否該為自己勇敢一次。女生的煩惱全都看在『月經醬』的眼裡，她有辦法給女生們帶來勇氣和力量嗎！？
 
【關於電影】
 
手塚治虫文化賞短篇獎得主 點擊超越2000萬
廣大女孩共感度No.1壓倒性支持
在日本熱議好評不斷，由小山健創作的網路漫畫《月經醬》，首度將每個女性每月一次的私密煩惱，化身成擬人的可愛小惡魔，相信女性讀者看了絕對都會很有共鳴，對於每個月來訪時的那一記「月經拳」更會心有戚戚焉，儘管跟它相處已久，也能與它閒話家常，但當它暴躁起來，還是會毫不留情的痛擊妳每根神經！網路點閱率累積至今超越 2000 萬點擊的《月經醬》，終於要搬上大銀幕。
 
豪華演員齊聚一堂，原作超人氣角色完美現身
共譜女孩才懂、男人該懂 笑淚交織的「經事」
由個性演技派女星二階堂富美詮釋漫畫中，每個月被月經醬重擊一次的青子，與個性派女星伊藤沙莉同場飆戲，而其他還有松風理咲、岡田義徳…等豪華卡司加入，除此之外，劇組大膽捨棄CG效果，以人偶裝呈現原作中讓人又愛又怕的月經醬，絕對有笑有淚又有愛，還有在原作中大受好評的童貞君、性慾君和初經醬也一同登場，共譜女孩才懂、男人該懂，笑淚交織的「經事」。
 
她讓我痛苦不堪，卻又是我最好的閨蜜
讓女孩更愛自己，讓男孩更愛你
故事中的主角青子是在出版社工作的女性，愛情事業兩得意，偏偏生理期總是痛到不行；同公司擔任清潔工的山本，負能量只敢抒發在網路上，生理期前夕更是什麼都不順眼！無論再討厭，「月經醬」每個月總會來到她們身邊，打亂工作節奏、破壞甜蜜約會，貧血、愛睏、頭昏、腹痛，真是一點好處都沒有。真希望男人體驗看看生理期之苦！但是，在女生煩惱的時候，月經醬總會帶來力量，讓女生勇敢面對自己。這個麻煩的傢伙，最懂女生的辛苦，看完電影可以讓女孩更愛自己，讓男孩更愛你！
          ",上映日期：2019-12-13,https://movies.yahoo.com.tw/movieinfo_main/%E6%AF%8F%E5%80%8B%E6%9C%88%E4%BE%86%E8%A8%AA%E4%B8%80%E6%AC%A1%E7%9A%84%E6%9C%88%E7%B6%93%E9%86%AC-little-miss-period-10324
人間失格：太宰治與他的3個女人,劇情 ,"
            ★ 《惡女花魁》《惡女羅曼死》蜷川實花最新異色之作
★ 演技男神小栗旬演繹天才作家太宰治其瘋狂不羈的一生
★ 人氣男星 藤原龍也 × 高良健吾 × 成田凌 × 千葉雄大 × 瀨戶康史 華麗共演
★ 《幸福湯屋》宮澤理惠、《惡女羅曼死》澤尻英龍華、《飛翔吧！埼玉》二階堂富美 詮釋太宰治生命中最重要的三個女人
★ 揭開太宰治經典作品《人間失格》誕生的祕辛
 
一段禁忌之戀，最危險的真實故事。
 
太宰治（小栗旬 飾）與懷孕的妻子美知子（宮澤理惠 飾）育有兩名孩子，但仍和立志成為作家的靜子（澤尻英龍華 飾）、寡婦富榮（二階堂富美 飾）發展出不倫關係。太宰治的女性關係混亂、多次自殺未遂，過著十分放蕩墮落的生活，但他的妻子不顧遭丈夫背叛，仍不離不棄地陪在太宰治身邊，鼓勵他繼續創作。而這也驅使太宰治開始執筆他的代表作《人間失格》……
          ",上映日期：2019-12-06,https://movies.yahoo.com.tw/movieinfo_main/%E4%BA%BA%E9%96%93%E5%A4%B1%E6%A0%BC-%E5%A4%AA%E5%AE%B0%E6%B2%BB%E8%88%87%E4%BB%96%E7%9A%843%E5%80%8B%E5%A5%B3%E4%BA%BA-no-longer-human-10287
